Episode,Reward,WaitingTime,AvgWaitingPerVehicle,Throughput,TotalVehicles,GreenTime,RedTime,YellowTime
86,20455.0,5748.0,6.908653846153846,23329,832,2310,0,690
87,20435.5,6443.0,7.743990384615385,23657,832,2309,0,691
88,20464.0,5218.0,6.271634615384615,23073,832,2299,0,701
89,20145.0,6118.0,7.353365384615385,23204,832,2322,0,678
90,20688.0,5092.0,6.1201923076923075,23234,832,2313,0,687
91,19922.0,6880.0,8.26923076923077,23362,832,2292,0,708
92,19258.0,8684.0,10.4375,23600,832,2336,0,664
93,20351.5,5723.0,6.878605769230769,23213,832,2340,0,660
94,20203.5,6007.0,7.219951923076923,23207,832,2315,0,685
95,20642.0,5684.0,6.831730769230769,23484,832,2318,0,682
96,20770.0,5164.0,6.206730769230769,23352,832,2323,0,677
97,20475.5,5333.0,6.409855769230769,23142,832,2304,0,696
98,20606.0,5108.0,6.139423076923077,23160,832,2301,0,699
99,20056.5,6735.0,8.094951923076923,23424,832,2318,0,682
100,20077.0,6612.0,7.947115384615385,23383,832,2347,0,653
101,20434.5,4821.0,5.794471153846154,22845,832,2281,0,719
102,20150.0,5786.0,6.954326923076923,23043,832,2299,0,701
103,20175.0,6406.0,7.699519230769231,23378,832,2322,0,678
104,20109.5,6455.0,7.758413461538462,23337,832,2330,0,670
105,20005.5,6579.0,7.907451923076923,23295,832,2364,0,636
106,19937.5,7021.0,8.438701923076923,23448,832,2340,0,660
107,20691.5,5999.0,7.210336538461538,23691,832,2308,0,692
108,20661.5,5707.0,6.859375,23515,832,2339,0,661
109,20551.0,6142.0,7.382211538461538,23622,832,2350,0,650
110,19841.0,7786.0,9.358173076923077,23734,832,2340,0,660
111,21092.0,4628.0,5.5625,23406,832,2359,0,641
112,20635.5,5727.0,6.883413461538462,23499,832,2366,0,634
113,20285.5,5703.0,6.8545673076923075,23137,832,2374,0,626
114,18832.0,9032.0,10.85576923076923,23348,832,2390,0,610
115,20136.5,6669.0,8.015625,23471,832,2337,0,663
116,20596.0,5772.0,6.9375,23482,832,2361,0,639
117,20357.0,6118.0,7.353365384615385,23416,832,2345,0,655
118,19708.5,8307.0,9.984375,23862,832,2371,0,629
119,20431.0,6122.0,7.358173076923077,23492,832,2367,0,633
120,19586.5,8475.0,10.186298076923077,23824,832,2339,0,661
121,20385.5,6465.0,7.7704326923076925,23618,832,2392,0,608
122,20252.5,6771.0,8.138221153846153,23638,832,2355,0,645
123,20019.5,7089.0,8.520432692307692,23564,832,2349,0,651
124,20469.0,6090.0,7.319711538461538,23514,832,2334,0,666
125,20336.5,6611.0,7.945913461538462,23642,832,2357,0,643
126,20018.5,7507.0,9.022836538461538,23772,832,2327,0,673
127,19223.0,8992.0,10.807692307692308,23719,832,2312,0,688
128,20462.5,6337.0,7.616586538461538,23631,832,2325,0,675
129,19248.5,8549.0,10.275240384615385,23523,832,2355,0,645
130,20426.0,6018.0,7.233173076923077,23435,832,2357,0,643
131,20453.5,6321.0,7.597355769230769,23614,832,2342,0,658
132,20023.0,6930.0,8.329326923076923,23488,832,2320,0,680
133,20367.0,6290.0,7.560096153846154,23512,832,2342,0,658
134,20614.0,5630.0,6.766826923076923,23429,832,2357,0,643
135,20373.5,6589.0,7.919471153846154,23668,832,2317,0,683
136,20144.0,6610.0,7.944711538461538,23449,832,2291,0,709
