Episode,Reward,WaitingTime,AvgWaitingPerVehicle,Throughput,TotalVehicles,GreenTime,RedTime,YellowTime
81,-22840.5,328549.0,96.23579379027534,141434,3414,2786,0,214
82,-34627.0,362646.0,105.72769679300292,146696,3430,2773,0,227
83,-6756349.0,13727156.0,5660.682886597938,107229,2425,2777,0,223
84,-35041.5,368493.0,109.24785057812036,149205,3373,2782,0,218
85,-30029.0,357992.0,106.0088836245188,148967,3377,2783,0,217
86,-27478.0,325070.0,96.48857227663996,135057,3369,2791,0,209
87,-9023.0,298888.0,88.58565500889152,140421,3374,2767,0,233
88,-33835.5,354555.0,105.55373623102113,143442,3359,2810,0,190
89,-29015.0,342468.0,100.96344339622641,142219,3392,2782,0,218
90,-40920.0,368262.0,108.66391265860136,143211,3389,2776,0,224
91,-18799.0,292910.0,86.94271297120807,127656,3369,2794,0,206
92,-18599.0,272016.0,80.88492417484389,117409,3363,2752,0,248
93,-12779.0,301108.0,88.48310314428446,137775,3403,2781,0,219
94,-24006.0,326086.0,96.81888361045131,139037,3368,2774,0,226
95,-14956.0,302316.0,88.8641975308642,136202,3402,2766,0,234
96,-29016.5,339103.0,101.80216151305915,140535,3331,2793,0,207
97,-8739.5,291121.0,85.72467608951708,136821,3396,2749,0,251
98,-28001.0,323262.0,96.75606105956301,133630,3341,2762,0,238
99,-31504.0,341454.0,100.69419050427602,139223,3391,2778,0,222
100,-26655.5,328681.0,96.8703212496316,137685,3393,2781,0,219
101,-8441.0,301548.0,88.24934152765584,142333,3417,2775,0,225
102,-19093.0,318580.0,93.8656452563347,140197,3394,2765,0,235
103,-26147.5,327525.0,97.18842729970326,137615,3370,2780,0,220
104,-36087.0,367052.0,108.88519727083951,147439,3371,2753,0,247
105,-18034.0,315736.0,93.52369668246446,139834,3376,2742,0,258
106,-18342.5,322747.0,96.71771051842973,143031,3337,2757,0,243
107,-18440.0,323710.0,95.97094574562703,143415,3373,2761,0,239
108,-11481.0,324608.0,97.59711365003007,150823,3326,2764,0,236
109,-20738.5,340205.0,101.3117927337701,149364,3358,2767,0,233
110,-1907.0,307556.0,90.64426760978485,151871,3393,2755,0,245
111,-1705.0,307422.0,90.55139911634757,152006,3395,2772,0,228
112,1539.5,304265.0,89.99260573794736,153672,3381,2774,0,226
113,-6680.0,313588.0,91.37179487179488,150114,3432,2789,0,211
114,-30018.5,368355.0,109.62946428571429,154159,3360,2795,0,205
115,-8635.5,313417.0,92.2357268981754,148073,3398,2799,0,201
116,-7434.5,318291.0,94.00206733608978,151711,3386,2789,0,211
117,-8666.5,321859.0,95.81988687109259,152263,3359,2771,0,229
118,2014.0,291688.0,85.91693667157584,147858,3395,2781,0,219
119,417.5,307297.0,90.54124926340602,154066,3394,2779,0,221
120,-1177.0,303474.0,88.7091493715288,150560,3421,2760,0,240
121,-16728.5,331925.0,98.72843545508626,149234,3362,2807,0,193
122,10105.5,275279.0,80.23287671232876,147745,3431,2785,0,215
123,3809.5,287657.0,83.37884057971014,147638,3450,2774,0,226
124,5700.5,271811.0,79.19900932400932,141606,3432,2780,0,220
125,-27605.0,356068.0,105.12784174785946,150429,3387,2779,0,221
126,-14306.5,322761.0,93.90776840267675,147074,3437,2784,0,216
127,-16900.0,334644.0,96.97015357867285,150422,3451,2774,0,226
128,-26338.0,326332.0,95.69853372434018,136828,3410,2796,0,204
129,991.5,282757.0,82.17291485033421,142370,3441,2797,0,203
130,-10198.0,303772.0,89.21350954478707,141688,3405,2798,0,202
131,-6763.5,305867.0,89.09612583745995,146170,3433,2821,0,179
132,-21427.5,334021.0,98.15486335586247,145583,3403,2787,0,213
133,14333.0,255436.0,74.47113702623906,142051,3430,2799,0,201
134,-15464.0,312692.0,91.94119376653926,140882,3401,2809,0,191
135,18590.0,242958.0,70.30034722222223,140069,3456,2836,0,164
136,-21494.5,345171.0,102.18206039076377,151091,3378,2818,0,182
137,-6894.0,311048.0,91.1095489162273,148630,3414,2818,0,182
138,-3020.5,297425.0,87.27259389671362,145692,3408,2822,0,178
139,-5837.0,302660.0,87.80388743835219,145493,3447,2825,0,175
140,10463.5,254381.0,74.09874745120885,137654,3433,2833,0,167
141,4813.5,265853.0,77.82581967213115,137740,3416,2836,0,164
142,-8106.0,300818.0,89.36957813428401,142303,3366,2837,0,163
143,-812.5,286189.0,83.60765410458662,142282,3423,2807,0,193
144,-245.0,278590.0,81.76988552979161,139050,3407,2819,0,181
145,-16013.5,302825.0,88.98765794886864,135399,3403,2819,0,181
146,-14975.5,309463.0,90.7516129032258,139756,3410,2823,0,177
147,-16720.5,315079.0,92.37144532395192,140819,3411,2812,0,188
148,10700.0,258064.0,75.58992384299941,139732,3414,2802,0,198
149,-5474.5,291593.0,85.21127995324372,140322,3422,2807,0,193
150,-4394.0,295412.0,85.85062481836675,143312,3441,2814,0,186
151,-20581.0,327954.0,96.06151142355009,143396,3414,2809,0,191
152,-1798.5,290283.0,85.40247131509267,143343,3399,2797,0,203
153,7874.5,270871.0,79.29478922716628,143310,3416,2787,0,213
154,-2295.0,289890.0,85.06161971830986,142650,3408,2816,0,184
155,16103.0,244862.0,71.22222222222223,138534,3438,2805,0,195
156,801.0,281806.0,82.7867215041128,141704,3404,2820,0,180
157,-2048588.0,4358862.0,1402.0141524605983,130843,3109,2806,0,194
158,7958.0,271950.0,79.10122164048866,143933,3438,2799,0,201
159,9470.0,274344.0,80.26448215330603,146642,3418,2811,0,189
160,5937.0,278556.0,82.38864241348713,145215,3381,2822,0,178
161,-12372.0,322502.0,95.89711567053226,148879,3363,2827,0,173
162,11627.0,271270.0,79.57465532414197,147262,3409,2814,0,186
163,24852.5,233555.0,67.8150406504065,141630,3444,2807,0,193
164,2811.5,283453.0,83.14843062481665,144538,3409,2818,0,182
165,2022.5,284999.0,84.16981689308919,144522,3386,2826,0,174
166,-4375.0,290564.0,85.35957696827262,140907,3404,2813,0,187
