Episode,Reward,WaitingTime,AvgWaitingPerVehicle,Throughput,TotalVehicles,GreenTime,RedTime,YellowTime
83,23368.0,7298.0,8.79277108433735,27017,830,1662,0,1338
84,23545.5,5079.0,6.119277108433735,26085,830,1613,0,1387
85,23962.5,6333.0,7.630120481927711,27129,830,1635,0,1365
86,23243.5,5523.0,6.65421686746988,26005,830,1600,0,1400
87,22955.0,3356.0,4.043373493975904,24633,830,1625,0,1375
88,23271.5,4223.0,5.087951807228916,25383,830,1561,0,1439
89,23054.0,5034.0,6.065060240963855,25571,830,1650,0,1350
90,22423.0,7656.0,9.224096385542168,26251,830,1615,0,1385
91,23485.0,5070.0,6.108433734939759,26020,830,1628,0,1372
92,23422.5,5125.0,6.174698795180723,25985,830,1655,0,1345
93,22782.5,3351.0,4.037349397590361,24458,830,1619,0,1381
94,22774.0,4956.0,5.971084337349398,25252,830,1625,0,1375
95,23583.0,3556.0,4.284337349397591,25361,830,1588,0,1412
96,23432.0,2926.0,3.525301204819277,24895,830,1619,0,1381
97,22394.0,2990.0,3.602409638554217,23889,830,1629,0,1371
98,23965.5,4627.0,5.574698795180723,26279,830,1634,0,1366
99,23093.0,5168.0,6.226506024096386,25677,830,1638,0,1362
100,23246.0,5112.0,6.159036144578313,25802,830,1611,0,1389
101,22260.5,4343.0,5.232530120481928,24432,830,1677,0,1323
102,23560.5,6923.0,8.340963855421688,27022,830,1666,0,1334
103,23429.5,8241.0,9.928915662650603,27550,830,1721,0,1279
104,22772.5,4793.0,5.774698795180723,25169,830,1616,0,1384
105,23029.5,6143.0,7.401204819277108,26101,830,1643,0,1357
106,22953.0,5996.0,7.224096385542168,25951,830,1673,0,1327
107,22924.0,6448.0,7.768674698795181,26148,830,1725,0,1275
108,22554.0,4616.0,5.56144578313253,24862,830,1690,0,1310
109,23241.5,3533.0,4.256626506024096,25008,830,1643,0,1357
110,22157.5,4905.0,5.909638554216867,24610,830,1657,0,1343
111,23265.5,6033.0,7.268674698795181,26282,830,1715,0,1285
112,22838.0,3240.0,3.9036144578313254,24458,830,1722,0,1278
113,23050.5,4269.0,5.143373493975903,25185,830,1716,0,1284
114,23547.5,6177.0,7.442168674698795,26636,830,1768,0,1232
115,23395.5,4669.0,5.625301204819277,25730,830,1777,0,1223
116,22690.5,5145.0,6.198795180722891,25263,830,1708,0,1292
117,23136.0,5664.0,6.824096385542169,25968,830,1738,0,1262
118,23418.0,7010.0,8.44578313253012,26923,830,1777,0,1223
119,22514.5,6969.0,8.396385542168675,25999,830,1799,0,1201
120,22974.0,5742.0,6.918072289156626,25845,830,1741,0,1259
121,23226.0,7182.0,8.653012048192771,26817,830,1796,0,1204
122,23599.5,4879.0,5.878313253012048,26039,830,1765,0,1235
123,23097.0,6244.0,7.52289156626506,26219,830,1811,0,1189
124,22232.0,6838.0,8.23855421686747,25651,830,1789,0,1211
125,23073.5,5663.0,6.82289156626506,25905,830,1785,0,1215
126,23554.0,5884.0,7.089156626506024,26496,830,1785,0,1215
127,23064.5,5445.0,6.5602409638554215,25787,830,1779,0,1221
128,22757.0,5372.0,6.472289156626506,25443,830,1775,0,1225
129,22604.5,5665.0,6.825301204819277,25437,830,1790,0,1210
130,22914.0,7088.0,8.539759036144579,26458,830,1766,0,1234
131,22784.5,3685.0,4.4397590361445785,24627,830,1809,0,1191
132,23059.5,2983.0,3.593975903614458,24551,830,1775,0,1225
133,22425.0,3656.0,4.404819277108434,24253,830,1789,0,1211
134,22788.5,4631.0,5.579518072289156,25104,830,1735,0,1265
135,22190.5,2971.0,3.5795180722891566,23676,830,1760,0,1240
136,23106.0,3956.0,4.766265060240964,25084,830,1835,0,1165
137,22926.0,5814.0,7.004819277108433,25833,830,1789,0,1211
138,23287.5,3865.0,4.656626506024097,25220,830,1850,0,1150
139,23130.5,3253.0,3.919277108433735,24757,830,1848,0,1152
140,22553.0,4262.0,5.134939759036144,24684,830,1809,0,1191
141,22204.5,4819.0,5.806024096385542,24614,830,1801,0,1199
142,23102.0,3480.0,4.192771084337349,24842,830,1784,0,1216
143,22988.5,6269.0,7.553012048192771,26123,830,1808,0,1192
144,22446.0,5916.0,7.127710843373494,25404,830,1802,0,1198
145,23847.0,7506.0,9.043373493975903,27600,830,1824,0,1176
146,22124.0,8410.0,10.132530120481928,26329,830,1855,0,1145
147,23966.0,6894.0,8.306024096385542,27413,830,1859,0,1141
148,23005.0,5786.0,6.971084337349398,25898,830,1842,0,1158
149,22093.0,9206.0,11.09156626506024,26696,830,1874,0,1126
150,22950.5,9117.0,10.98433734939759,27509,830,1843,0,1157
151,23520.5,6903.0,8.316867469879519,26972,830,1844,0,1156
152,22703.0,6436.0,7.7542168674698795,25921,830,1875,0,1125
153,22599.0,8934.0,10.763855421686747,27066,830,1909,0,1091
154,22966.0,7382.0,8.893975903614457,26657,830,1898,0,1102
155,22926.5,8161.0,9.832530120481927,27007,830,1825,0,1175
156,22893.0,8348.0,10.057831325301205,27067,830,1865,0,1135
157,23575.5,5689.0,6.854216867469879,26420,830,1831,0,1169
158,23038.0,6190.0,7.457831325301205,26133,830,1908,0,1092
159,24008.0,4800.0,5.783132530120482,26408,830,1882,0,1118
160,23210.0,5180.0,6.240963855421687,25800,830,1891,0,1109
161,23541.0,3968.0,4.780722891566265,25525,830,1810,0,1190
162,22940.5,4673.0,5.630120481927711,25277,830,1859,0,1141
163,23256.0,4000.0,4.819277108433735,25256,830,1865,0,1135
164,23510.0,4822.0,5.809638554216868,25921,830,1861,0,1139
165,21630.5,4889.0,5.890361445783133,24075,830,1815,0,1185
166,23377.5,2623.0,3.1602409638554216,24689,830,1831,0,1169
167,22699.5,2391.0,2.8807228915662653,23895,830,1858,0,1142
168,23620.5,3563.0,4.29277108433735,25402,830,1837,0,1163
169,23241.0,2510.0,3.0240963855421685,24496,830,1778,0,1222
170,23837.5,3655.0,4.403614457831325,25665,830,1809,0,1191
171,22304.0,2216.0,2.669879518072289,23412,830,1781,0,1219
172,23166.5,2529.0,3.0469879518072287,24431,830,1821,0,1179
173,21769.0,2704.0,3.257831325301205,23121,830,1739,0,1261
174,24260.5,3181.0,3.8325301204819278,25851,830,1754,0,1246
175,22922.0,4066.0,4.8987951807228916,24955,830,1678,0,1322
176,23472.5,4683.0,5.642168674698795,25814,830,1759,0,1241
177,23999.0,4886.0,5.886746987951807,26442,830,1722,0,1278
178,23588.5,6659.0,8.022891566265061,26918,830,1685,0,1315
179,22974.0,7030.0,8.46987951807229,26489,830,1663,0,1337
180,24319.5,6281.0,7.567469879518073,27460,830,1657,0,1343
181,24059.0,6350.0,7.650602409638554,27234,830,1664,0,1336
182,22871.5,8245.0,9.933734939759036,26994,830,1702,0,1298
183,23410.5,7183.0,8.654216867469879,27002,830,1681,0,1319
184,23536.5,5929.0,7.143373493975903,26501,830,1640,0,1360
185,23665.5,6165.0,7.427710843373494,26748,830,1665,0,1335
186,23703.5,4885.0,5.885542168674699,26146,830,1652,0,1348
