Episode,Reward,WaitingTime,AvgWaitingPerVehicle,Throughput,TotalVehicles
1,-89543.1875,10497810.0,17153.28431372549,12683,612
2,-90232.3125,10616009.0,17346.419934640522,12967,612
3,-89197.4375,10435747.0,17024.05709624796,12720,613
4,-93018.1875,10968220.0,17892.69168026101,13196,613
5,-89533.5,10537064.0,17189.337683523656,13050,613
6,-90477.1875,10643062.0,17390.624183006537,12578,612
7,-89839.125,10523264.0,17166.825448613377,13000,613
8,-90064.6875,10520709.0,17162.657422512235,12851,613
9,-88472.9375,10400097.0,16965.900489396412,12596,613
10,-89284.375,10484312.0,17103.282218597065,12888,613
11,-90075.125,10563765.0,17261.053921568626,12996,612
12,-89717.625,10517700.0,17157.74877650897,12585,613
13,-90511.875,10623811.0,17330.84991843393,12842,613
14,-89952.0625,10546785.0,17205.195758564438,12768,613
15,-89086.8125,10415543.0,16991.097879282217,12550,613
16,-90595.375,10632240.0,17372.941176470587,13262,612
17,-90940.875,10673250.0,17439.950980392157,12472,612
18,-90089.6875,10536717.0,17216.857843137255,12668,612
19,-90647.5,10634192.0,17347.784665579118,12457,613
20,-91894.3125,10780371.0,17586.249592169657,12702,613
21,-90314.875,10610797.0,17337.90359477124,13339,612
22,-90972.8125,10679276.0,17421.331158238172,12923,613
23,-90478.25,10627833.0,17337.41109298532,12811,613
24,-89901.5625,10565780.0,17236.182707993474,12815,613
25,-90222.1875,10568744.0,17269.18954248366,12908,612
26,-88476.0,10383712.0,16939.171288743884,12667,613
27,-92523.4375,10877344.0,17744.443719412724,13091,613
28,-88612.1875,10401393.0,16968.01468189233,12547,613
29,-89099.25,10458076.0,17060.482871125612,12763,613
30,-89659.4375,10512641.0,17149.495921696573,12918,613
31,-89536.0625,10474887.0,17115.82843137255,12731,612
32,-88990.75,10434719.0,17050.194444444445,12897,612
33,-90439.3125,10587398.0,17271.448613376837,12980,613
34,-89640.9375,10492037.0,17115.88417618271,12820,613
35,-90633.125,10633169.0,17346.11582381729,12831,613
36,-89397.375,10508688.0,17171.058823529413,12777,612
37,-89333.125,10499106.0,17127.41598694943,12701,613
38,-90331.8125,10591789.0,17306.84477124183,13233,612
39,-90010.8125,10564288.0,17233.74877650897,13041,613
40,-89377.875,10492610.0,17116.818923327897,12686,613
41,-90043.625,10571656.0,17245.768352365416,13192,613
42,-90784.0625,10629544.0,17340.202283849918,12904,613
