Episode,Reward,WaitingTime,AvgWaitingPerVehicle,Throughput,TotalVehicles
97,-211617.9375,24043092.0,11298.445488721805,43744,2128
98,-212259.0,24161478.0,11311.553370786516,44582,2136
99,-198054.125,22332752.0,10220.939130434783,44524,2185
100,-219247.5,24964426.0,12142.230544747083,44407,2056
101,-203173.125,22909344.0,11180.743777452415,43614,2049
102,-198401.0625,22452658.0,10243.00091240876,44390,2192
103,-198762.9375,22491570.0,10398.321775312066,44946,2163
104,-211966.6875,24153086.0,11312.920843091335,43635,2135
105,-213607.125,24268098.0,11485.138665404638,43831,2113
106,-213477.125,24316513.0,11123.747941445563,44887,2186
107,-195282.5625,22081162.0,10376.48590225564,44363,2128
108,-209293.125,23836866.0,11020.280166435507,44397,2163
109,-215016.0625,24413448.0,11318.24200278164,44183,2157
110,-203381.375,22979524.0,11106.584823586274,43564,2069
111,-201647.25,22792823.0,10586.541105434279,44466,2153
112,-199614.8125,22510652.0,10523.913978494624,44191,2139
113,-197062.625,22281510.0,10263.247351450944,43728,2171
114,-197886.375,22363446.0,10339.087378640777,44610,2163
115,-198824.25,22458123.0,10402.094951366373,43838,2159
116,-201063.875,22686507.0,10746.80577925154,42999,2111
117,-197017.5,22270003.0,10445.592401500939,43998,2132
118,-214041.125,24250109.0,11337.12435717625,44059,2139
119,-198879.625,22496738.0,10343.327816091954,44554,2175
120,-197387.625,22289965.0,10276.609036422315,45053,2169
121,-216446.1875,24611867.0,11669.92271218587,43548,2109
122,-213580.375,24289616.0,11172.776448942042,44346,2174
123,-213899.0,24387316.0,11060.007256235827,45093,2205
124,-202262.25,22882475.0,10778.36787564767,43826,2123
125,-211727.375,24088820.0,11147.070800555299,44231,2161
126,-197213.8125,22310861.0,10192.261763362267,44218,2189
127,-199774.1875,22567413.0,10409.323339483395,43481,2168
128,-203981.9375,23065881.0,10522.755930656935,44548,2192
129,-199071.5,22493247.0,10700.878686964796,42920,2102
130,-213678.625,24271940.0,11379.249882794187,44674,2133
131,-197129.25,22251134.0,10373.489044289045,44926,2145
132,-198824.5625,22474471.0,10651.408056872038,43916,2110
133,-214117.1875,24331722.0,11029.792384406164,44833,2206
134,-217560.5,24773410.0,12049.323929961089,43212,2056
135,-202454.625,22903188.0,10486.807692307691,45155,2184
136,-221596.375,25521128.0,11826.287303058387,44727,2158
137,-199406.6875,22534738.0,10205.95018115942,44950,2208
138,-213313.5,24257775.0,11361.95550351288,43946,2135
139,-212331.1875,24147689.0,11273.430905695612,44457,2142
140,-200454.0,22685194.0,10200.177158273382,44877,2224
141,-199059.125,22493693.0,10600.23232799246,43774,2122
142,-199088.5,22498722.0,10372.854771784232,44451,2169
143,-217396.125,24688005.0,11456.150812064965,44364,2155
144,-194377.3125,21967350.0,9971.56150703586,44842,2203
145,-199312.0,22525631.0,10290.3750571037,44326,2189
146,-213518.875,24249265.0,11508.90602752729,43606,2107
147,-199646.6875,22557466.0,10395.145622119815,44002,2170
148,-210518.3125,23938454.0,11196.657623947614,43805,2138
149,-199939.375,22607957.0,10271.675147660155,45242,2201
150,-215542.5625,24475854.0,11501.811090225563,43331,2128
151,-213786.125,24316343.0,11159.404772831575,44260,2179
152,-199743.75,22585138.0,10214.897331524196,44069,2211
153,-199793.75,22569506.0,10566.248127340825,44880,2136
154,-200451.5625,22649940.0,10389.880733944954,45118,2180
155,-216718.9375,24705309.0,11327.514442916094,44585,2181
156,-214481.5625,24420009.0,11540.64697542533,44328,2116
157,-199930.5,22591025.0,10415.410327339789,44162,2169
158,-194688.3125,22028205.0,10303.182881197381,45150,2138
159,-199229.125,22472213.0,10403.802314814815,44635,2160
160,-214403.875,24401735.0,11172.955586080587,44707,2184
161,-214503.5,24383669.0,11561.720720720721,43805,2109
162,-200141.9375,22630330.0,10520.841469084147,44540,2151
163,-197065.3125,22321691.0,10406.38275058275,45016,2145
164,-216373.1875,24564177.0,11226.77193784278,45169,2188
165,-201477.875,22754590.0,10583.53023255814,43931,2150
166,-214296.3125,24432766.0,11151.422181652213,44533,2191
167,-197218.4375,22302164.0,10377.926477431363,44264,2149
168,-198973.4375,22478750.0,10464.967411545624,44132,2148
169,-195527.0,22099472.0,10091.083105022832,44076,2190
170,-198864.875,22448211.0,10213.016833484986,44554,2198
171,-199956.4375,22588699.0,10467.423076923076,44201,2158
172,-200079.0,22632004.0,10560.89780681288,44766,2143
173,-200968.4375,22755163.0,10452.5323840147,45260,2177
174,-213449.6875,24256203.0,11387.888732394365,43954,2130
175,-213901.625,24305299.0,11584.98522402288,44036,2098
176,-198033.75,22411594.0,10337.45110701107,44249,2168
177,-211156.75,24033114.0,11199.027958993476,44623,2146
178,-214444.0,24409582.0,11411.679289387564,44214,2139
179,-200155.8125,22637792.0,10465.92325473879,44775,2163
180,-218325.4375,24839530.0,11389.055479138011,44793,2181
181,-201029.375,22678526.0,10763.420028476507,43881,2107
182,-216946.5625,24702209.0,11305.35881006865,45192,2185
183,-216893.9375,24671464.0,11280.962048468222,44744,2187
184,-213437.6875,24307859.0,11321.778761061947,44084,2147
185,-215164.125,24536895.0,11168.363677742376,44541,2197
186,-211149.0625,24014342.0,11408.238479809976,42792,2105
187,-217199.9375,24682230.0,11426.958333333334,44402,2160
188,-215497.1875,24507547.0,11457.478728377746,43980,2139
189,-214934.3125,24505386.0,11261.666360294117,44470,2176
190,-215332.75,24532998.0,11300.321510824504,44495,2171
191,-198845.875,22445804.0,10263.284865112026,45593,2187
192,-201232.3125,22790133.0,10439.82272102611,44368,2183
193,-217329.25,24729950.0,11518.374476013041,43687,2147
194,-211115.375,23960161.0,10841.701809954751,44961,2210
195,-200212.4375,22633804.0,10502.925290023202,44030,2155
196,-210886.5625,24005004.0,11312.442978322337,44183,2122
197,-221718.9375,25534308.0,11718.360715924737,44456,2179
198,-200398.375,22653090.0,10381.801099908342,44480,2182
199,-216914.1875,24700413.0,11419.515950069348,44227,2163
200,-218535.0625,24875619.0,11437.066206896552,43996,2175
201,-217587.25,24756257.0,11655.48822975518,43132,2124
202,-199521.875,22480236.0,10669.309919316564,44017,2107
203,-198040.375,22401915.0,10252.592677345538,44641,2185
