Episode,Reward,Loss,WaitingTime,AvgWaitingPerVehicle,Throughput,TotalVehicles,GreenTime,RedTime,YellowTime
61,-1423685.0,1058051.3421979167,3227006.0,1176.8803792851934,189818,2742,1865,0,1135
62,-1345270.5,1080623.2698645834,3059817.0,1127.4196757553427,184638,2714,1982,0,1018
63,-1465380.0,1088587.7254479167,3298298.0,1229.3320909429742,183769,2683,2029,0,971
64,-1415700.0,1032291.4731875,3187534.0,1192.939371257485,178067,2672,1941,0,1059
65,-1535276.5,1031921.536375,3432195.0,1279.7147651006712,180821,2682,1944,0,1056
66,-1326743.0,1009838.6079166667,3015924.0,1126.185212845407,181219,2678,1917,0,1083
67,-1431402.5,1014232.5170104167,3218869.0,1209.1919609316303,178032,2662,1944,0,1056
68,-1522118.5,1074176.69709375,3409693.0,1235.8437839797027,182728,2759,2044,0,956
69,-1456189.0,1039412.8184895833,3292346.0,1147.9588563458856,189984,2868,2016,0,984
70,-1439627.0,1110326.8956666666,3258644.0,1139.7845400489682,189695,2859,2008,0,992
71,-1375496.5,1140081.8832083333,3117891.0,1120.3345310815666,183449,2783,1982,0,1018
72,-1459370.0,1178119.7827604166,3293508.0,1191.5730824891461,187384,2764,1968,0,1032
73,-1820983.5,1135963.4766770834,4008611.0,1456.088267344715,183322,2753,1969,0,1031
74,-1740950.5,1151370.0857916668,3851445.0,1389.911584265608,184772,2771,1939,0,1061
75,-1527301.5,1150312.6062291667,3423041.0,1233.5282882882882,184219,2775,2006,0,994
76,-1529786.5,1169515.7835729166,3433867.0,1235.2039568345324,187147,2780,2047,0,953
77,-1375184.5,1134927.90740625,3119489.0,1121.7148507731033,184560,2781,2039,0,961
78,-1414886.0,1072303.7420833334,3204082.0,1143.090260435248,187155,2803,1970,0,1030
79,-1378574.5,1144410.5200833334,3124747.0,1142.5034734917733,183799,2735,1869,0,1131
80,-1255355.0,1118535.6882916666,2889632.0,1042.8119812342115,189461,2771,1942,0,1058
81,-1562116.5,1179773.1401041667,3492327.0,1275.9689440993789,184047,2737,2030,0,970
82,-1570390.5,1174034.3104479166,3509725.0,1265.221701514059,184472,2774,2044,0,956
83,-1405585.0,1174477.60765625,3185810.0,1137.3830774723313,187320,2801,1959,0,1041
84,-1516420.5,1177432.5076041666,3404059.0,1222.722341954023,185609,2784,1992,0,1008
85,-1358735.5,1194781.2436145833,3091255.0,1106.390479599141,186892,2794,2016,0,984
86,-1358308.0,1158983.4473645834,3083074.0,1109.0194244604318,183229,2780,1918,0,1082
87,-1502755.0,1129122.68975,3354948.0,1267.9319727891157,174719,2646,1978,0,1022
88,-1533337.0,1127141.6769479166,3427840.0,1281.9147344801795,180583,2674,1834,0,1166
89,-1452778.0,1088794.7009166668,3277346.0,1181.0255855855855,185895,2775,1929,0,1071
90,-1374018.5,1139812.33890625,3116999.0,1144.2727606461087,184481,2724,1986,0,1014
91,-1415269.0,1145769.9542291667,3199008.0,1190.107142857143,184235,2688,1954,0,1046
92,-1226001.0,1160901.4231875,2830610.0,1029.3127272727272,189304,2750,1894,0,1106
93,-1529216.5,1148539.4305625,3426915.0,1259.8952205882354,184241,2720,1942,0,1058
94,-1376883.0,1153339.4520520833,3132264.0,1127.1191075926592,189249,2779,2076,0,924
95,-1561960.5,1154210.1036979167,3493411.0,1289.5574012550758,184745,2709,2043,0,957
