Episode,Reward,WaitingTime,AvgWaitingPerVehicle,Throughput,TotalVehicles,GreenTime,RedTime,YellowTime
74,-1476379.5,3342903.0,1191.341054882395,195072,2806,1647,0,1353
75,-1463718.5,3304475.0,1209.9871841816184,188519,2731,1689,0,1311
76,-1386183.0,3171634.0,1127.4916459296126,199634,2813,1701,0,1299
77,-1398397.0,3187862.0,1127.2496463932107,195534,2828,1680,0,1320
78,-1375279.5,3149737.0,1123.7021048876204,199589,2803,1602,0,1398
79,-1438301.0,3275960.0,1166.2370950516197,199679,2809,1688,0,1312
80,-1238587.0,2872556.0,1020.8088130774698,197691,2814,1624,0,1376
81,-1412670.5,3217069.0,1147.3141940085593,195864,2804,1650,0,1350
82,-1329967.5,3053377.0,1097.5474478792237,196721,2782,1691,0,1309
83,-1342082.0,3081846.0,1101.0525187566989,198841,2799,1654,0,1346
84,-1325764.0,3042628.0,1078.5636299184687,195550,2821,1602,0,1398
85,-1368083.0,3125176.0,1130.262567811935,194505,2765,1552,0,1448
86,-1270452.0,2931140.0,1035.0070621468926,195118,2832,1671,0,1329
87,-1283431.0,2974146.0,1045.02670414617,203642,2846,1615,0,1385
88,-1322926.5,3040569.0,1079.3642172523962,197358,2817,1656,0,1344
89,-1262572.5,2927075.0,1028.4873506676036,200965,2846,1651,0,1349
90,-1263730.0,2932216.0,1027.04588441331,202378,2855,1675,0,1325
91,-1458027.5,3316197.0,1164.804004214963,200071,2847,1625,0,1375
92,-1568370.0,3535390.0,1250.5801202688363,199325,2827,1721,0,1279
93,-1490211.5,3390105.0,1177.937804030577,204841,2878,1670,0,1330
94,-1349685.5,3108487.0,1077.0918225918226,204558,2886,1703,0,1297
95,-1272587.5,2941487.0,1026.3387997208654,198156,2866,1702,0,1298
96,-1341886.0,3085650.0,1093.0393198724762,200939,2823,1739,0,1261
97,-1453285.0,3301792.0,1145.2625737079431,197611,2883,1718,0,1282
98,-1335243.0,3072020.0,1059.3172413793104,200767,2900,1750,0,1250
99,-1313160.5,3023857.0,1058.4028701435072,198768,2857,1755,0,1245
100,-1439195.0,3287970.0,1134.1738530527768,204790,2899,1736,0,1264
101,-1497361.5,3408787.0,1165.7958276333788,207032,2924,1779,0,1221
102,-1423834.5,3260277.0,1144.7601825842696,206304,2848,1784,0,1216
103,-1450745.5,3310837.0,1140.095385674931,204673,2904,1793,0,1207
104,-1288303.0,2981778.0,1033.9036061026352,202586,2884,1789,0,1211
105,-1537717.0,3480690.0,1218.302415120756,202628,2857,1761,0,1239
106,-1431235.0,3288418.0,1131.9855421686748,212974,2905,1823,0,1177
107,-1351240.5,3123645.0,1084.975686002084,210582,2879,1787,0,1213
108,-1380208.0,3179324.0,1101.2552822999653,209454,2887,1724,0,1276
109,-1542436.0,3497158.0,1227.0729824561404,206143,2850,1784,0,1216
110,-1369437.0,3135974.0,1100.7279747279747,198550,2849,1763,0,1237
111,-1360420.0,3133188.0,1080.7823387374956,206174,2899,1786,0,1214
112,-1379409.0,3161394.0,1105.3825174825174,201288,2860,1727,0,1273
113,-1250456.5,2903767.0,1018.1511220196353,201427,2852,1757,0,1243
114,-1298886.0,3007610.0,1043.5843164469118,204919,2882,1710,0,1290
115,-1360087.5,3117697.0,1104.0003541076487,198761,2824,1714,0,1286
116,-1245173.5,2888531.0,1009.2700908455625,199092,2862,1710,0,1290
117,-1343991.5,3094595.0,1079.7609909281227,203306,2866,1683,0,1317
118,-1379173.5,3145107.0,1123.2525,193380,2800,1585,0,1415
119,-1285432.5,2968185.0,1057.4225151407197,198660,2807,1610,0,1390
120,-1165242.5,2724307.0,969.5042704626335,196911,2810,1603,0,1397
121,-1241483.0,2865092.0,1032.093659942363,191063,2776,1553,0,1447
122,-1270679.0,2923626.0,1053.9387166546503,191134,2774,1589,0,1411
123,-1235099.5,2849641.0,1017.7289285714286,189721,2800,1569,0,1431
124,-1122254.5,2633695.0,935.9257285003554,194593,2814,1619,0,1381
125,-1211186.5,2791609.0,1016.609249817917,184618,2746,1558,0,1442
126,-1265469.5,2918725.0,1037.953413940256,193893,2812,1578,0,1422
127,-1196304.5,2777865.0,992.449088960343,192628,2799,1612,0,1388
128,-1170632.0,2728720.0,972.8057040998217,193728,2805,1685,0,1315
129,-1265671.0,2908324.0,1037.2054208273894,188491,2804,1629,0,1371
130,-1186831.0,2759302.0,967.1580792148616,192820,2853,1629,0,1371
131,-1214390.0,2812146.0,997.2148936170213,191683,2820,1642,0,1358
132,-1290974.0,2962784.0,1058.5151839942837,190418,2799,1624,0,1376
133,-1300373.0,2972314.0,1071.4902667627973,185784,2774,1670,0,1330
134,-1224491.0,2836976.0,995.7795717795718,193997,2849,1660,0,1340
135,-1169593.0,2721986.0,947.766713091922,191400,2872,1668,0,1332
136,-1192693.5,2771437.0,967.6805167597765,193025,2864,1706,0,1294
137,-1200858.0,2798478.0,971.0194309507286,198381,2882,1733,0,1267
138,-1292032.0,2965590.0,1051.627659574468,190763,2820,1661,0,1339
139,-1279393.0,2941960.0,1033.3544081489288,191587,2847,1685,0,1315
140,-1271804.5,2927373.0,1032.5830687830687,191882,2835,1738,0,1262
141,-1255557.5,2888297.0,1026.7675079985781,188591,2813,1723,0,1277
142,-1320263.0,3018562.0,1076.904031394934,189018,2803,1749,0,1251
143,-1134095.0,2657642.0,922.7923611111111,194726,2880,1765,0,1235
144,-1419754.5,3223543.0,1137.453422724065,192017,2834,1744,0,1256
145,-1194544.5,2792321.0,962.8693103448276,201616,2900,1785,0,1215
146,-1235167.0,2863740.0,1002.0083974807558,196703,2858,1728,0,1272
