Episode,Reward,WaitingTime,AvgWaitingPerVehicle,Throughput,TotalVehicles
1,-10235.81818181819,757082.0,1060.3389355742297,25359,714
2,-13318.272727272726,998107.0,1405.7845070422536,25303,710
3,-11870.090909090904,862857.0,1230.8944365192583,24401,701
4,-10456.090909090906,755045.0,1048.673611111111,26359,720
5,-9275.727272727274,669133.0,914.1161202185792,26076,732
6,-10548.545454545456,772408.0,1053.762619372442,26550,733
7,-11640.09090909091,860247.0,1186.5475862068965,25947,725
8,-11137.363636363634,824585.0,1153.2657342657342,25607,715
9,-11979.181818181818,896688.0,1216.6729986431478,25658,737
10,-10360.909090909088,768202.0,1065.4674063800278,25498,721
11,-12210.454545454551,894965.0,1293.3020231213873,24091,692
12,-10676.909090909094,767439.0,1051.286301369863,25692,730
13,-9491.727272727272,702571.0,943.048322147651,25247,745
14,-8306.81818181818,592179.0,762.1351351351351,28119,777
15,-10225.000000000002,738539.0,989.9986595174263,27162,746
16,-7739.181818181817,544105.0,705.7133592736706,26799,771
17,-9687.363636363641,694751.0,937.5856950067476,27852,741
18,-8107.5454545454595,613205.0,827.5371120107962,26310,741
19,-9099.45454545454,653788.0,859.1169513797635,27334,761
20,-9910.36363636364,727562.0,999.3983516483516,25764,728
21,-8513.272727272722,586845.0,786.6554959785523,26466,746
22,-6610.000000000003,460343.0,595.5278137128073,28551,773
23,-10132.09090909091,753841.0,1009.1579651941098,26867,747
24,-8388.090909090908,619190.0,811.5203145478375,27516,763
25,-10582.000000000004,772763.0,1042.8650472334682,25476,741
26,-6866.000000000002,487540.0,637.3071895424837,26906,765
27,-8313.363636363638,572367.0,734.7458279845956,28385,779
28,-7547.000000000005,537534.0,687.383631713555,29698,782
29,-8521.636363636368,604079.0,775.4544287548139,29627,779
30,-8405.909090909096,606064.0,788.1196358907672,28731,769
31,-7127.090909090907,503710.0,640.8524173027989,29102,786
32,-8509.636363636362,624954.0,810.5758754863813,27934,771
33,-1660.272727272727,96965.0,116.26498800959233,24557,834
34,-8183.727272727272,582967.0,734.2153652392947,29594,794
35,-1667.3636363636363,102091.0,123.29830917874396,23621,828
36,-3350.181818181818,215868.0,268.4925373134328,24389,804
37,-5588.181818181819,381283.0,474.23258706467664,27667,804
38,-1006.1818181818181,54056.0,64.81534772182255,23476,834
39,-4967.363636363634,332116.0,402.0774818401937,29887,826
40,-6082.727272727273,426744.0,538.8181818181819,29927,792
41,-6954.909090909094,499520.0,626.750313676286,29011,797
42,-7873.363636363639,561588.0,697.6248447204969,31086,805
43,-4763.909090909089,297871.0,367.288532675709,27172,811
44,-6574.90909090909,470591.0,586.0410958904109,29204,803
45,-3848.636363636363,255252.0,312.42594859241126,25643,817
46,-2771.454545454546,166348.0,202.12393681652492,26138,823
47,-2249.18181818182,135688.0,162.890756302521,26632,833
48,-6793.181818181819,475166.0,584.460024600246,29306,813
49,-1761.1818181818187,101821.0,122.08752997601918,24405,834
50,-3950.9090909090874,251145.0,301.13309352517985,29411,834
51,-3382.1818181818157,219791.0,267.0607533414338,26335,823
52,-1169.1818181818173,64481.0,77.68795180722891,24031,830
53,-496.2727272727278,24710.0,29.628297362110313,22006,834
54,-1223.818181818182,70843.0,84.94364508393285,24167,834
55,-2818.818181818181,174110.0,212.8484107579462,24999,818
56,-5141.545454545457,335535.0,414.75278121137205,29193,809
57,-434.18181818181864,23587.0,28.418072289156626,21254,830
58,-540.2727272727277,27306.0,32.89879518072289,21540,830
59,-1594.3636363636374,95827.0,114.90047961630695,24130,834
60,-3056.727272727273,192694.0,234.70645554202193,25677,821
61,-479.2727272727273,22991.0,27.7,21978,830
62,-1703.09090909091,105913.0,127.14645858343337,25251,833
63,-2219.0909090909095,129373.0,155.6835138387485,22508,831
64,-1519.0000000000005,91303.0,110.00361445783132,22636,830
65,-1916.4545454545453,118596.0,142.8867469879518,23709,830
66,-691.0909090909087,37185.0,44.80120481927711,21163,830
67,-784.9999999999986,42761.0,51.519277108433734,21487,830
68,-418.1818181818186,20192.0,24.240096038415366,20970,833
69,-629.9090909090902,31700.0,38.19277108433735,22368,830
70,-2507.0909090909095,156343.0,189.2772397094431,22747,826
71,-476.90909090909116,23382.0,28.069627851140456,20254,833
72,-504.636363636364,25350.0,30.542168674698797,21691,830
73,-306.8181818181821,14784.0,17.812048192771083,20633,830
74,-476.90909090909133,23683.0,28.396882494004796,21202,834
75,-368.81818181818215,18704.0,22.426858513189448,21334,834
76,-425.81818181818204,21155.0,25.487951807228917,21241,830
77,-308.6363636363638,14459.0,17.420481927710842,19768,830
78,-202.72727272727292,8642.0,10.37454981992797,20975,833
79,-237.90909090909105,10149.0,12.16906474820144,19938,834
80,-201.18181818181836,8736.0,10.487394957983193,19430,833
