Episode,Reward,WaitingTime,AvgWaitingPerVehicle,Throughput,TotalVehicles
1,-309992.3000000001,49544402.0,110837.58836689038,12712,447
2,-308799.0,49343989.0,110636.7466367713,12962,446
3,-306789.4666666666,48971816.0,109556.63534675616,12943,447
4,-304531.8000000001,48678970.0,108658.41517857143,12503,448
5,-304410.1000000001,48653116.0,108843.65995525727,12753,447
6,-304737.7666666669,48762380.0,109332.69058295964,12543,446
7,-305124.16666666674,48761945.0,109331.71524663677,12671,446
8,-299302.2999999999,47749690.0,106822.57270693513,12352,447
9,-307449.3,49055460.0,109743.75838926174,12870,447
10,-300480.3000000001,47957779.0,107048.61383928571,12533,448
11,-305158.23333333334,48692484.0,108931.73154362416,12656,447
12,-302989.1666666666,48389719.0,108254.40492170022,12534,447
13,-303710.3333333334,48492884.0,108728.4394618834,12702,446
14,-307160.0333333333,48954807.0,109764.14125560538,12789,446
15,-305491.6333333334,48793378.0,109402.19282511211,12726,446
16,-300624.76666666655,48056161.0,107749.2399103139,12419,446
17,-300124.99999999994,47938186.0,107484.72197309417,12490,446
18,-302757.83333333343,48439396.0,108608.51121076233,12605,446
19,-307945.2333333336,49105656.0,109856.05369127517,12741,447
20,-304107.16666666674,48574221.0,108424.60044642857,12789,448
21,-307756.3666666667,49133419.0,110164.61659192825,12837,446
22,-303025.20000000036,48419011.0,108562.80493273542,12515,446
23,-304947.73333333345,48690201.0,109170.85426008969,12629,446
24,-302111.5000000002,48309372.0,108074.65771812081,12681,447
25,-305224.26666666655,48762813.0,109089.06711409397,12566,447
26,-303946.3333333333,48507443.0,108517.76957494408,12846,447
27,-302105.93333333347,48235663.0,107909.76062639822,12429,447
28,-300676.5333333335,47975761.0,107328.32438478747,12669,447
29,-304907.4333333335,48736172.0,109029.46756152125,12546,447
30,-300582.0666666668,48048725.0,107251.61830357143,12689,448
31,-304906.6333333335,48732510.0,109021.27516778524,12683,447
32,-301831.4666666669,48231941.0,107901.43400447427,12572,447
33,-304302.5666666667,48681133.0,109150.52242152467,12591,446
34,-302316.666666667,48308121.0,108314.1726457399,12677,446
35,-305759.1000000001,48924767.0,109451.3803131991,12863,447
36,-301589.06666666665,48232249.0,107902.1230425056,12598,447
37,-306423.0000000001,49053005.0,109493.31473214286,12743,448
38,-303981.0333333337,48567292.0,108651.65995525727,12502,447
39,-305441.7666666666,48795109.0,109406.07399103139,12477,446
40,-307295.23333333345,49067661.0,109771.05369127517,12859,447
41,-308294.60000000015,49238456.0,110153.14541387024,12700,447
42,-303617.3666666668,48532254.0,108816.7130044843,12364,446
43,-308855.03333333356,49329893.0,110357.70246085011,12666,447
44,-300031.5666666667,48000567.0,107383.81879194631,12572,447
45,-301453.06666666665,48152892.0,107966.12556053812,12515,446
46,-304402.6000000002,48637296.0,108808.26845637584,12544,447
47,-302902.73333333357,48422553.0,108570.7466367713,12502,446
48,-304828.4000000001,48774458.0,109359.77130044842,12583,446
49,-309149.0,49387030.0,110733.25112107623,12846,446
50,-304860.3000000003,48648551.0,108833.44742729307,12754,447
51,-306914.53333333344,49040343.0,109709.93959731543,12632,447
52,-308116.8333333337,49270598.0,110225.05145413871,12793,447
53,-309121.0666666668,49396016.0,110753.39910313902,12764,446
54,-306522.40000000014,49025439.0,109431.78348214286,12711,448
55,-303757.90000000014,48456393.0,108403.56375838927,12715,447
56,-304787.76666666684,48689791.0,108925.70693512305,12575,447
57,-308599.33333333355,49301828.0,110542.21524663677,12638,446
58,-303799.7000000001,48512065.0,108285.859375,12757,448
59,-304704.10000000003,48722656.0,108999.23042505592,12580,447
60,-304759.96666666685,48633082.0,108798.84116331096,12654,447
61,-302475.43333333335,48364747.0,108441.13677130044,12431,446
62,-301884.5333333335,48257373.0,107958.3288590604,12514,447
63,-309158.5000000002,49434569.0,110839.84080717489,12839,446
64,-302195.76666666666,48178086.0,107780.95302013423,12444,447
65,-307401.8,49155240.0,110213.54260089686,12601,446
66,-302788.0000000001,48415824.0,108555.65919282511,12793,446
67,-305291.80000000016,48749363.0,109303.50448430494,12604,446
68,-303247.3000000001,48443456.0,108374.62192393736,12589,447
69,-307443.63333333336,49133223.0,109917.72483221476,12695,447
70,-302820.3666666669,48366525.0,108202.5167785235,12740,447
71,-302974.7666666668,48420001.0,108322.14988814318,12475,447
72,-304878.1333333334,48739828.0,109037.64653243848,12622,447
73,-306210.16666666674,48852500.0,109289.7091722595,12604,447
74,-307474.8333333336,49164439.0,109987.55928411633,12820,447
75,-299685.60000000003,47827588.0,106996.84116331096,12440,447
76,-306761.96666666673,48982980.0,109827.30941704036,12759,446
77,-309462.76666666695,49455487.0,110886.74215246637,12872,446
78,-306452.53333333327,48980367.0,109821.45067264573,12792,446
79,-304137.7000000001,48552313.0,108618.14988814318,12602,447
80,-305946.5666666667,48879339.0,109349.75167785234,12695,447
81,-303958.89999999997,48507074.0,108516.94407158837,12473,447
82,-299895.0333333334,47852595.0,107292.81390134529,12524,446
83,-302556.6000000002,48342977.0,108149.83668903803,12537,447
84,-302940.43333333335,48485651.0,108712.22197309417,12798,446
85,-305368.5666666669,48787400.0,108900.44642857143,12568,448
86,-306446.7333333333,48886010.0,109364.67561521253,12615,447
87,-302547.4666666667,48347935.0,108160.92841163311,12641,447
88,-297129.43333333347,47494452.0,106251.57046979865,12454,447
89,-308787.8666666669,49292189.0,110027.20758928571,12807,448
90,-303456.0666666669,48472901.0,108198.43973214286,12524,448
91,-304278.29999999993,48550190.0,108370.95982142857,12524,448
92,-308104.3000000001,49299755.0,110044.09598214286,12529,448
93,-304400.13333333354,48658453.0,108855.5995525727,12653,447
94,-308792.4666666668,49339509.0,110626.70179372198,12577,446
95,-307776.63333333336,49180070.0,110022.52796420582,12808,447
96,-306512.03333333315,48936797.0,109723.7600896861,12742,446
97,-307093.1000000003,49033645.0,109694.95525727069,12692,447
98,-304302.8333333334,48602089.0,108973.2937219731,12523,446
99,-302068.4666666668,48261523.0,107726.61383928571,12616,448
100,-306677.7333333334,48974472.0,109808.2331838565,12868,446
101,-301790.4666666669,48263977.0,107973.1029082774,12582,447
102,-304714.49999999994,48679754.0,109147.43049327354,12925,446
103,-307019.3,49070571.0,109532.52455357143,12649,448
104,-303184.5666666667,48453204.0,108639.47085201794,12568,446
105,-304300.10000000015,48551719.0,108616.82102908277,12691,447
106,-301726.03333333315,48234047.0,107906.14541387024,12661,447
107,-307455.8000000001,49168858.0,109751.91517857143,12703,448
108,-304466.4000000001,48627441.0,108786.22147651007,12587,447
109,-303071.0000000003,48452671.0,108153.28348214286,12592,448
110,-301932.63333333354,48206245.0,107843.94854586129,12677,447
111,-306319.5666666666,48943600.0,109493.51230425056,12603,447
112,-303857.3333333335,48531649.0,108571.92170022371,12582,447
113,-308887.8333333333,49312127.0,110317.95749440716,12863,447
114,-303355.9666666669,48484431.0,108466.28859060403,12680,447
115,-303925.76666666695,48587570.0,108697.02460850112,12667,447
116,-299149.6,47840737.0,107026.25727069352,12427,447
117,-310401.19999999995,49629724.0,111028.46532438479,12856,447
118,-309277.6000000001,49330177.0,110605.77802690583,12869,446
119,-309844.2666666667,49475576.0,110931.78475336323,12720,446
120,-302262.56666666677,48251179.0,108186.5,12581,446
121,-306065.7333333332,48896478.0,109633.35874439462,12930,446
122,-304572.70000000007,48650378.0,108837.53467561521,12349,447
123,-306825.70000000007,49004367.0,109629.45637583893,12674,447
124,-307879.4,49228985.0,110131.95749440716,12659,447
125,-304990.7666666668,48715436.0,109227.43497757848,12551,446
126,-302243.70000000024,48335702.0,108133.56152125279,12642,447
127,-304437.0333333333,48606180.0,108982.466367713,12557,446
128,-303624.2333333334,48464195.0,108179.00669642857,12417,448
129,-304479.06666666677,48607222.0,108740.98881431768,12688,447
130,-304849.40000000026,48769778.0,109349.27802690583,12752,446
131,-306119.36666666676,48928071.0,109214.44419642857,12770,448
132,-304965.10000000003,48700088.0,109193.02242152467,12592,446
133,-307957.69999999995,49238119.0,110152.39149888144,12684,447
134,-307296.7999999999,49015637.0,109900.53139013454,12869,446
135,-297929.5000000003,47630754.0,106795.41255605381,12369,446
136,-306123.2333333335,48856898.0,109299.54809843401,12594,447
137,-308951.7666666667,49423804.0,110815.70403587444,12628,446
138,-305664.1666666666,48838519.0,109258.43176733781,12571,447
139,-306448.9000000002,48957185.0,109523.903803132,12849,447
140,-303893.0666666668,48517180.0,108782.91479820627,12712,446
141,-308354.6666666669,49230119.0,109888.65848214286,12490,448
142,-305064.33333333343,48727685.0,108767.15401785714,12622,448
143,-307601.33333333343,49195241.0,110056.46756152125,12836,447
144,-305602.9,48915518.0,109430.68903803133,12663,447
145,-307279.66666666686,49039866.0,109954.85650224215,12668,446
146,-298405.03333333327,47679206.0,106904.04932735427,12373,446
147,-296974.23333333334,47464125.0,106421.80493273542,12603,446
148,-303802.3333333332,48559915.0,108878.7331838565,12332,446
149,-305691.6333333335,48818574.0,109458.68609865471,12781,446
150,-307737.70000000024,49180529.0,110023.5548098434,12821,447
151,-308162.9333333335,49252019.0,110183.48769574944,12728,447
152,-306173.3666666667,48873605.0,109582.07399103139,12763,446
153,-307727.3,49174816.0,110257.43497757848,12896,446
154,-307476.33333333326,49182843.0,110028.73154362416,12603,447
155,-304135.43333333335,48685522.0,108916.15659955257,12765,447
156,-304522.1666666668,48634379.0,108801.74272930648,12411,447
157,-302208.93333333347,48314882.0,108086.98434004474,12618,447
158,-306098.96666666673,48950493.0,109508.93288590603,12535,447
