Episode,Reward,Loss,WaitingTime,AvgWaitingPerVehicle,Throughput,TotalVehicles,GreenTime,RedTime,YellowTime
1,-288041.5192230975,469.0734499073126,694165.0,242.4607055536151,97816,2863,0,0,0
2,-295949.4570069569,708.8747606913249,700468.0,244.40614096301465,94942,2866,0,0,0
3,-323282.98315273377,1263.9668282368978,788165.0,279.98756660746005,94918,2815,0,0,0
4,-300409.32536756195,1958.7395996907553,721594.0,255.43150442477875,93931,2825,0,0,0
5,-287105.1680536649,2683.8249031778973,688608.0,243.15254237288136,90952,2832,0,0,0
6,-256126.69022053978,3521.626501139323,594214.0,209.30398027474462,89338,2839,0,0,0
7,-289475.93107430683,4469.348104044597,698493.0,244.5703781512605,97905,2856,0,0,0
8,-266268.16079655883,5848.579231363932,645618.0,228.6182719546742,87857,2824,0,0,0
9,-314416.08093450684,7297.899751057943,773238.0,271.40680940680943,94614,2849,0,0,0
10,-301143.62782426976,8735.947293375651,709660.0,247.8728606356968,90846,2863,0,0,0
11,-271730.66431240604,10410.050259033203,643628.0,226.4700914848698,90777,2842,0,0,0
12,-286203.4587073703,11925.549970865886,688281.0,237.8303386316517,102385,2894,0,0,0
13,-301894.2752013397,12882.81718717448,715224.0,248.9467455621302,101609,2873,0,0,0
14,-281875.8108838995,13939.62588216146,666246.0,237.86004998214923,88159,2801,0,0,0
15,-311153.9704267261,15970.868456380209,748893.0,257.9720978298312,107162,2903,0,0,0
16,-285105.7538486175,17146.79486279297,671163.0,236.40824233885172,89423,2839,0,0,0
17,-304456.84660201304,18015.115263509113,725946.0,254.27180385288966,98826,2855,0,0,0
18,-345251.8983300238,20639.373392903646,853474.0,302.4358610914245,98171,2822,0,0,0
19,-326105.4042950936,25042.057354166667,793580.0,272.89546079779916,105889,2908,0,0,0
20,-269041.88949785754,25006.280071289064,641722.0,218.71915473755965,107739,2934,0,0,0
21,-291963.8268526963,25173.745020833332,710907.0,245.6485832757429,103375,2894,0,0,0
22,-296663.0712419704,27486.160427408853,709599.0,250.2994708994709,91768,2835,0,0,0
23,-284406.53292690904,30205.83304980469,673845.0,240.7449088960343,88143,2799,0,0,0
24,-276083.1491692855,32781.31770605469,642299.0,227.04100388829974,88468,2829,0,0,0
25,-271579.5343491272,33016.80392122396,632986.0,226.22802001429594,87546,2798,0,0,0
26,-279570.1613848576,32524.886484375,657497.0,232.9897236002835,87116,2822,0,0,0
27,-289813.7630124211,34018.430262369795,697922.0,251.32229024126755,88159,2777,0,0,0
28,-305912.97588097944,35140.362181315104,735167.0,257.8628551385479,99559,2851,0,0,0
29,-337651.3363550885,36291.2926155599,831060.0,293.24629498941425,99465,2834,0,0,0
30,-286426.34830150637,35246.804438802086,688549.0,236.6961155036095,101495,2909,0,0,0
31,-329776.07693367655,35727.21901757812,820175.0,290.4302407932011,102364,2824,0,0,0
32,-253855.81407633788,35151.408081705726,602950.0,213.73626373626374,89091,2821,0,0,0
33,-328012.70501226553,35404.82619173177,800093.0,283.82156793189074,101220,2819,0,0,0
