Episode,Reward,Loss,WaitingTime,AvgWaitingPerVehicle,Throughput,TotalVehicles,GreenTime,RedTime,YellowTime
1,-396580.4801034178,798.2417172578106,1023961.0,1590.001552795031,27056,644,0,0,0
2,-380162.5616716071,1241.8331327514647,984487.0,1484.8974358974358,28343,663,0,0,0
3,-407927.04874487687,1722.565882466634,1085515.0,1696.1171875,26753,640,0,0,0
4,-328788.76167531905,2277.0336267496746,849084.0,1282.6042296072508,28011,662,0,0,0
5,-385129.0300268234,3032.4348385009766,1012014.0,1547.4220183486239,27699,654,0,0,0
6,-369385.5264702884,4313.315987019857,969679.0,1508.054432348367,27330,643,0,0,0
7,-394711.5624850387,5219.930796101888,1026993.0,1594.7096273291925,27219,644,0,0,0
8,-425439.2943139507,6489.242622477213,1121224.0,1732.9582689335393,27056,647,0,0,0
9,-372519.6398720207,8611.35813297526,970308.0,1495.0816640986131,27003,649,0,0,0
10,-403060.9274482898,9427.072725179036,1088670.0,1711.745283018868,26462,636,0,0,0
11,-347856.79098339664,10670.070548665364,890516.0,1391.43125,27286,640,0,0,0
12,-375120.76507393696,11661.352389648437,981934.0,1496.8506097560976,27412,656,0,0,0
13,-400885.33769157424,13825.713040364584,1028815.0,1590.1313755795982,27359,647,0,0,0
14,-384687.62483070797,16035.866251464844,968030.0,1475.655487804878,28490,656,0,0,0
15,-381650.43509106117,17316.910451985677,1008602.0,1568.587869362364,27458,643,0,0,0
16,-382897.1590778812,18258.015872395834,987110.0,1520.9707241910633,27427,649,0,0,0
17,-374893.78026904183,20612.100971679687,992846.0,1548.9017160686428,27228,641,0,0,0
18,-417703.8170709645,21217.679454427085,1075869.0,1668.0139534883722,27054,645,0,0,0
19,-380842.7807112306,22852.096610677083,984503.0,1489.4145234493192,28192,661,0,0,0
20,-429840.05224245705,26599.14245019531,1129286.0,1778.4031496062992,26322,635,0,0,0
21,-404521.69738105097,29702.5811484375,1049757.0,1605.133027522936,27651,654,0,0,0
22,-353361.44398204365,31031.42353808594,912395.0,1397.2358346094945,27893,653,0,0,0
23,-431604.90891729906,30030.352856119793,1154838.0,1812.9324960753531,26551,637,0,0,0
24,-372100.2156465366,29565.312017578126,962653.0,1476.4616564417179,27981,652,0,0,0
25,-416537.36401116883,33523.16611523437,1108565.0,1740.2904238618523,26683,637,0,0,0
26,-375333.7606587828,34887.97863834635,963118.0,1454.8610271903324,28394,662,0,0,0
27,-339494.4167547615,37243.70469628906,861325.0,1315.0,28366,655,0,0,0
28,-372590.4752348285,37844.97643424479,978103.0,1525.9017160686428,27299,641,0,0,0
29,-368161.46163523284,36324.50819303386,965319.0,1487.3944530046224,27440,649,0,0,0
30,-393819.16525705275,37947.8518671875,1044886.0,1622.4937888198758,27600,644,0,0,0
31,-393703.5070336158,44695.30801009115,1017078.0,1552.7908396946566,27925,655,0,0,0
32,-366123.6275206886,46577.37022591146,936582.0,1432.0825688073394,28055,654,0,0,0
33,-345049.3551112712,49749.85218164063,872213.0,1329.592987804878,28946,656,0,0,0
34,-404097.6939060633,48236.003970703125,1061754.0,1635.9845916795068,27322,649,0,0,0
35,-366313.27939273673,48199.833525390626,932405.0,1438.8966049382716,28078,648,0,0,0
36,-353027.6791731069,49456.529386067705,905553.0,1391.0184331797236,28223,651,0,0,0
37,-365828.90390014736,48762.846173828126,959143.0,1477.8782742681049,28053,649,0,0,0
38,-372342.8372506169,48414.43102929687,981347.0,1514.4243827160494,27305,648,0,0,0
39,-420994.1316626367,49972.980626953125,1095575.0,1690.7021604938273,27776,648,0,0,0
40,-406390.9746405792,54391.56395052083,1046938.0,1615.6450617283951,27439,648,0,0,0
41,-368608.8343549036,55428.401513020835,950972.0,1460.7864823348693,27590,651,0,0,0
42,-463723.7208410602,55420.567116536455,1228362.0,1913.3364485981308,26571,642,0,0,0
43,-435528.04657936597,59915.514702473956,1154106.0,1800.4773790951638,26307,641,0,0,0
44,-393795.0962259784,64168.045591145834,1008035.0,1543.698315467075,27720,653,0,0,0
45,-434918.5952408698,67773.21669466146,1130244.0,1746.8995363214838,27349,647,0,0,0
46,-359826.4207281705,66725.45211588542,918987.0,1444.948113207547,27001,636,0,0,0
47,-411048.5872541109,63930.66003841146,1066131.0,1647.806800618238,27209,647,0,0,0
48,-365877.8909855566,65049.42411197917,961263.0,1497.2943925233644,26884,642,0,0,0
49,-379418.47659373,62796.681880859374,988805.0,1535.4114906832299,26794,644,0,0,0
50,-347759.6210059634,66216.50982096355,895638.0,1352.92749244713,28157,662,0,0,0
51,-369889.9640889929,71176.46177604167,962678.0,1501.8377535101404,27336,641,0,0,0
52,-405420.92946285143,70905.98080013022,1076752.0,1685.057902973396,26750,639,0,0,0
53,-412071.94368858857,67821.90589583333,1057915.0,1625.0614439324117,26888,651,0,0,0
54,-406754.1528253353,69152.39472460937,1080338.0,1698.6446540880504,26349,636,0,0,0
55,-379747.9238548063,74659.8294563802,990994.0,1506.0699088145896,28156,658,0,0,0
56,-388885.6478292952,75347.69799153646,1010549.0,1540.471036585366,28064,656,0,0,0
57,-422537.1588048343,77206.68768880208,1087244.0,1693.526479750779,26814,642,0,0,0
58,-392667.90419567755,84147.02567838541,1002244.0,1549.063369397218,27537,647,0,0,0
59,-396671.906587094,91665.57974544271,1022485.0,1549.219696969697,28468,660,0,0,0
60,-403106.8139939056,93016.86315820312,1031278.0,1584.1443932411673,27542,651,0,0,0
61,-359309.68860220816,91219.48217317708,944124.0,1439.2134146341464,27804,656,0,0,0
62,-381362.9534303183,83467.77073893229,1009341.0,1540.9786259541984,27268,655,0,0,0
63,-410623.89569877594,80027.401421875,1074284.0,1697.13112164297,25780,633,0,0,0
64,-404539.155405323,83578.6323795573,1060498.0,1654.4430577223088,26213,641,0,0,0
65,-362479.79569334665,83360.4222154948,913938.0,1397.4587155963302,27765,654,0,0,0
66,-393304.6679488723,86243.390890625,1000992.0,1512.07250755287,28784,662,0,0,0
